year,men,women
1972,42,8
1973,33,5
1974,37,18
1975,58,10
1976,54,12
1977,35,7
1978,30,7
1980,29,13
1982,59,36
1983,68,26
1984,36,15
1985,35,14
1986,26,11
1987,31,17
1988,23,15
1989,28,5
1990,30,10
1991,27,13
1993,44,13
1994,59,31
1996,56,24
1998,43,23
2000,36,24
2002,75,56
2004,49,47
2006,75,70
2008,51,26
2010,105,52
2012,61,49
2014,65,37
2016,75,52
2018,38,38
2021,181,150
2022,98,80
