year,strongly_agree,agree,disagree,strongly_disagree
1996,244,562,193,354
2000,150,354,86,157
2002,93,225,43,97
2004,60,238,61,89
2006,168,473,150,201
2008,117,336,60,154
2010,120,333,71,146
2012,97,301,76,147
2014,146,432,75,159
2016,201,480,97,135
2018,174,360,72,112
2021,620,906,690,355
2022,547,946,410,346
NA,2737,5947,2085,2452
