year,men,women
1972,4,407
1973,2,401
1974,5,398
1975,7,372
1976,1,413
1977,3,353
1978,3,374
1980,7,341
1982,10,388
1983,13,335
1984,10,282
1985,5,263
1986,5,294
1987,15,280
1988,10,201
1989,8,244
1990,7,170
1991,6,243
1993,7,198
1994,13,353
1996,17,332
1998,19,319
2000,29,301
2002,22,256
2004,22,240
2006,37,453
2008,26,198
2010,37,198
2012,19,169
2014,33,229
2016,37,247
2018,37,211
2021,43,311
2022,71,242
