year,men,women
1972,570,191
1973,445,197
1974,442,207
1975,405,234
1976,413,229
1977,471,307
1978,465,260
1980,426,271
1982,488,360
1983,438,296
1984,395,331
1985,455,300
1986,426,284
1987,511,425
1988,447,311
1989,482,302
1990,415,316
1991,443,283
1993,478,327
1994,879,690
1996,930,664
1998,893,656
2000,866,655
2002,806,615
2004,845,621
2006,1352,963
2008,612,414
2010,519,409
2012,557,390
2014,692,544
2016,767,573
2018,649,494
2021,969,739
2022,922,728
