year,very_likely,somewhat_likely,somewhat_unlikely,very_unlikely
1996,130,351,152,83
2000,184,356,153,64
2002,121,235,74,30
2004,112,221,74,42
2006,215,463,216,95
2008,155,348,128,52
2010,160,318,142,64
2012,135,302,133,58
2014,165,421,167,69
2016,213,463,183,76
2018,188,325,146,65
2021,0,0,0,0
2022,361,598,309,112
