year,men,women
1972,41,73
1973,39,111
1974,34,79
1975,46,110
1976,52,78
1977,39,74
1978,30,118
1980,52,94
1982,63,133
1983,68,116
1984,53,118
1985,64,111
1986,55,108
1987,83,137
1988,51,116
1989,58,101
1990,44,108
1991,71,117
1993,62,119
1994,141,209
1996,105,208
1998,109,213
2000,119,201
2002,97,231
2004,112,205
2006,177,284
2008,87,143
2010,111,146
2012,91,153
2014,121,158
2016,139,235
2018,99,166
2021,138,235
2022,126,219
